Place,CountryState,Popularity,Latitude,Longitude
Purkhouti Muktangan,Chattisgarh(India),Tier IV,21.13411059,81.75886043
Energy Park,Chattisgarh(India),Tier IV,21.21916776,81.6976434
Ambuja City Centre,Chattisgarh(India),Tier III,21.27560897,81.687617
"Magneto The Mall",Chattisgarh(India),Tier II,21.24090916,81.68419841
"Raipur City Centre Mall",Chattisgarh(India),Tier III,21.25480169,81.64618326
Yala National Park,Sri Lanka,Tier V,6.463974092,81.47187574
"Maitri Bagh Zoo, bhilai, Chhattisgarh",Chattisgarh(India),Tier IV,21.16862306,81.35033116
Bandhavgarh Tiger Reserve,Madhya Pradesh(India),Tier V,23.72233911,81.02327674
Bara Imambara,Uttar Pradesh(India),Tier II,26.86857387,80.91270948
Udawalawe National Park,Sri Lanka,Tier IV,6.474615988,80.87630836
Horton Plains National Park,Sri Lanka,Tier IV,6.809452086,80.8023244
Sigiriya,Sri Lanka,Tier III,7.957051371,80.76025174
"Shaheed Chandra Shekhar Azad Bird Sanctuary, Nawabganj",Uttar Pradesh(India),Tier V,26.61917613,80.65313905
Udawatta Kele Sanctuary,Sri Lanka,Tier V,7.298879293,80.64240313
Sri Dalada Maligawa,Sri Lanka,Tier II,7.293606667,80.64132331
Sri Maha Bodhi Viharaya,Sri Lanka,Tier V,7.295644673,80.63093515
Kanha Tiger Reserve,Madhya Pradesh(India),Tier IV,22.29947076,80.58647075
Bogatha Waterfall,Telangana(India),Tier IV,18.47603359,80.50002668
Sri Pada / Adam's Peak,Sri Lanka,Tier IV,6.809620348,80.49930991
Pinnawala Elephant Orphanage,Sri Lanka,Tier V,7.300863827,80.38886382
Marina Beach,Tamil Nadu(India),Tier I,13.04790577,80.282153
Express Avenue,Tamil Nadu(India),Priority,13.05843361,80.26417957
Snow Kingdom,Maharashtra(India),Tier II,12.91324598,80.25129245
