Name,Category,Popularity,Latitude,Longitude
Sri Dalada Maligawa,,Tier II,7.29361264,80.64132272
The State Tretyakov Gallery,,Tier II,55.74137084,37.62079768
Fundera park - Birds park,,Tier II,12.56381829,78.6432033
"Radisson Hotel, Rosa Khutor",,Tier II,43.67278052,40.29751249
Udayagiri and Khandagiri Caves,,Tier II,20.26254315,85.78457103
Raj Ghat,Visited During School,Tier II,28.64061538,77.24949638
Worlds of Wonder,During Summers,Tier II,28.5635355,77.32462287
Henry Ford Museum of American Innovation,,Tier II,42.30345547,-83.23421756
Banff National Park,,Tier II,51.49682518,-115.9280559
Port Grand - Karachi,,Tier II,24.84465146,66.99090741
National Museum of African American History and Culture,,Tier II,38.89105632,-77.03261918
Imperial War Museum,,Tier II,51.49506761,-0.109926315
Sanctuary of Truth,,Tier II,12.97288767,100.8891223
National Railway Museum York,,Tier II,53.96048289,-1.096343057
Deltin Royaleq,,Tier II,15.50170082,73.8275579
Worlds of Wonder,,Tier II,28.56347897,77.32461145
Melbourne Cricket Ground,,Tier II,-37.81994143,144.9834056
Zoo Zürich,,Tier II,47.38428585,8.574479801
Hermann Park,,Tier II,29.71358427,-95.38929288
Pergamonmuseum,,Tier II,52.52118079,13.39689439
Sanssouci Palace,,Tier II,52.40418855,13.03845698
Libreria Acqua Alta,,Tier II,45.43797487,12.34228634
"Umaid Bhawan Palace, Jodhpur",,Tier II,26.28099178,73.0473104
"Umaid Bhawan Palace, Jodhpur
",,Tier II,26.28096325,73.04739723
Karla Caves,,Tier II,18.78325935,73.47040297
Dudhsagar Falls,,Tier II,15.31442699,74.31430821
Château de Fontainebleau,,Tier II,48.40210887,2.699488192
Tokyo National Museum,,Tier II,35.7188486,139.7765158
Golden Horn Beach,,Tier II,43.25757552,16.6342783
Dohány Street Synagogue,,Tier II,47.49589425,19.06057415
Sohrawardy Udyan,,Tier II,23.73224659,90.3999146
Jardin botanique de Montréal,,Tier II,45.55919424,-73.55772939
Hauz Khas Social,Visited from Outside,Tier II,28.55449877,77.19415876
Palolem Beach,,Tier II,15.01062588,74.02254954
Waste to Wonder Park,Visited,Tier II,28.59273153,77.25696077
Catherine Palace,,Tier II,59.71732714,30.39627335
Giant’s Causeway,,Tier II,55.24079876,-6.511568048
"Calangute Beach
",,Tier II,15.54369357,73.75496049
Namdaemun Market,,Tier II,37.55927504,126.9777051
Göbeklitepe,,Tier II,37.22323321,38.9218317
Peace Memorial Park - Hiroshima,,Tier II,34.39269548,132.4522061
High Park,,Tier II,43.64655554,-79.46370098
